State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Nagaland,21542.481358086417,83.23083233410466,3776.853197505811,93.39185795548654,17592.073887561444,85.07699138977925,2420.156241911574,5.17629415530474,384.7143854699373,5.698797507067857,5.0,5.396919008555649,1473.22144264728,48.513453472700924,0.0,11.596321917774379,2972.95946648337,47.195408266333736
Goa,21.0,99.2,13757.350642499367,71.87455910322426,21.0,92.77981108294375,3162.5188030376203,20.49330258644005,122.83698563361901,16.607035527522072,5.0,18.656298107405384,4.0,90.14752063326786,121.02422145808356,55.87733886727347,1258.9922295537513,86.96105353870034
West Bengal,116923.7195267632,92.8341246053922,2.0,80.01486244837868,88802.62986830673,91.23024082718385,12477.796114584375,14.238435125172371,984.2020428399692,14.289107079504127,17517.672385790567,14.321186053264112,10026.468954860207,79.33113045268381,1032.7100718437437,83.5561452285814,8882.388386787316,78.41804032329559
Odisha,8547.142210242491,94.99714896206643,9113.314307571223,94.39587120840343,87357.75371817219,95.72551055209625,4655.6630648192,7.389223745843844,250.79865314195084,7.00021238723416,4063.6839931761583,8.0736725981972,2783.7098558010084,77.2237219588317,89.29365607906364,78.23418223601848,2103.214520300873,73.52941769668038
Kerala,1579.2443496654705,94.03924296869957,2.0,86.97129602774213,46352.76407002169,92.99569030229195,4032.7625723757283,32.9,1255.8057797046379,30.670396068096704,8253.411572826102,32.049607207758434,2369.5669560630977,65.69293162052143,0.0,58.56168639645122,5241.266374321376,63.12921127591159
Rajasthan,124230.52178349631,89.56353970742612,29922.051507813514,87.6570077830131,203513.84027355604,90.3672786108378,3129.0588024137387,3.432419520100375,962.4000812712083,3.8359288297825653,4303.203400855386,2.5,872.4108250348725,66.52624089367865,1098.7645922069155,43.56682205344662,4422.907414521,57.04012612654739
Jammu & Kashmir,21.0,93.76341699050498,2.0,95.95320897888736,21.0,94.9316208946455,5.0,6.3379311016443705,1057.2020144903108,7.670340534772889,6079.8750797755565,7.40951821337999,4071.2149718013966,53.35105262132576,0.0,78.16744314493556,1986.20146664045,53.9203477226736
Madhya Pradesh,147022.5568017987,90.02986933826347,61849.2743960496,92.87087115344343,142337.24245995618,90.8458931817665,5548.138571335055,6.367309972627443,2840.5107152652204,6.640579530331305,9109.286067431776,6.784698263973823,3768.770467780644,46.608725051723226,1119.8412469434086,33.82660378343334,4187.578353353889,45.33447237741591
Jharkhand,47281.709468664776,89.36190465445772,12878.723013644623,83.84395341771034,21.0,87.83219440082081,5.0,6.230418298421342,712.455039110106,6.228631208739583,5517.330153439562,6.250207661735832,4.0,55.18900559675927,102.75801831495323,45.00058506323233,497.28826172459003,51.47612452449014
Meghalaya,21.0,78.61566234594773,17641.32397107612,50.222975386399874,76546.55195077803,77.19893291774716,5.0,6.475503830078415,0.0,2.9545735425068513,5.0,6.152895691952867,4.0,67.606048128555,206.5696614850713,72.57513848977142,2126.731598734048,64.57835226283804
