State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
India,1707030.0,92.09953496055024,502644.26045087154,87.70422872248078,2207826.8032658184,91.17050263510197,143167.0,8.505704766782602,30089.92605475173,5.755619784454687,172261.42757807154,7.113910359282443,92067.17163816775,63.09994932997739,16161.0,50.94291736800519,110058.0,63.389183148033254
Delhi,20168.722065645008,83.73453818490628,8870.495663339047,54.090583357165215,53913.996734249275,80.43134216897674,5805.781049314296,8.063314773382269,912.7870575826093,11.31990473207738,8688.263657418847,7.167762650775768,3436.916638380725,51.477867857394756,17.23226687524769,22.895479994881764,1726.5848505260283,52.01725823641348
Ladakh,64055.28991658909,91.31991083679515,2.0,84.43042353722586,10807.141722526188,90.93939339180474,997.0951734551551,3.0889508646031203,0.0,11.411928915085861,5.0,2.5,4.0,88.13440641237065,68.07020715084771,100.0,2095.6397360176047,89.06538257999317
Telangana,32654.17654381138,94.38699048106608,12649.50100320566,89.85591214294297,89649.84190982941,93.0216433449027,2357.29377898515,5.605499280533935,23.470896586615368,7.184871382278799,5810.130137498388,5.188216821703124,4.0,82.08715635662969,455.42291438258576,81.5190546526482,3815.668239126108,84.16747392091143
Jammu & Kashmir,21691.654402151755,95.85726932161835,2469.5676578905936,95.97642432625703,21.0,94.58296073004136,2791.6974765581426,7.045176357781321,0.0,7.587734476621942,4254.181135906963,7.546271971308306,59.423740398234315,51.67035543927451,0.0,74.31542037964695,4.0,48.01496001561935
West Bengal,10593.997188320136,93.62898116397855,3357.6396562992513,81.93882959632722,101708.09437633687,92.13405652170309,12038.581235750164,12.406346315023123,813.9816152844705,15.015432505380964,15920.048140587285,14.306810344022056,10050.164871109304,77.02822845510936,586.1416637067308,78.14568393091112,12213.848231127085,78.80834095504034
Uttarakhand,21.0,96.88885870862566,1991.8011517995183,91.48798868397576,32244.04278426645,94.57803412599931,4910.224891716374,7.617002528545518,9.496399686587893,5.3646338526326725,3791.564797414009,8.165083145639372,1245.704122126337,41.004668418767814,222.24119021179445,50.90708663518719,852.895299705348,40.647354504369055
Jammu & Kashmir,16882.799932536214,95.91997716223044,2.0,95.51425042308165,21.0,95.11956160060183,1410.1403718359634,6.60487428113403,385.81096483421896,5.5986229086739945,459.1403026866695,7.507426139586027,4.0,51.98590248497062,0.0,78.36357394479282,4.0,54.18524988778614
Himachal Pradesh,55535.55571024772,99.2,2.0,97.20188597763074,21.0,98.8740081555502,5.0,9.754010111350771,0.0,6.0421891847461,5.0,8.204155113267566,2158.862716254085,79.44703994935803,0.0,79.65343759793785,597.7229450927871,78.43824637550162
Chandigarh,21.0,96.1421534913834,2.0,75.19769024233833,21.0,94.42374260821498,3290.3900121604784,8.799877073636194,1532.9720698495364,10.34271265315028,1474.5024749269166,9.203568463503737,1125.3456051826697,79.29184654041035,349.7444653104775,100.0,1012.7914309299264,78.70858532972602
Karnataka,78078.33959148472,95.80021450124364,18879.13979776761,89.53155185185997,51197.0800790848,95.91844537126758,12667.91383782551,15.420254634003685,1421.7929946020017,9.802584285751598,10737.755833935584,15.331256513328112,9073.48979381594,78.48839652781524,1091.6992995754495,77.81418107540753,5008.211637844624,75.25222470370183
Uttar Pradesh,415533.8581119011,92.56528069244216,95941.2807204756,87.32762394543502,501997.56888616254,91.47404750823436,23034.68483270433,7.454793152531293,2273.8569984605406,2.3079055723248656,18220.08312946715,5.259072915835077,8449.093146634996,38.0,949.4982670718113,36.31149018478441,12307.89270537709,37.538051419186594
Lakshadweep,21.0,96.51422246198152,,,21.0,95.83385817398613,5.0,23.159452663659163,,,5.0,23.91952935349142,4.0,85.68796105245416,,,4.0,78.34324915260484
Rajasthan,123815.43259222248,90.10269375060753,34026.7463832916,87.71379266947845,149504.15363025182,90.38893281802528,4508.971518990835,2.3,722.8094924157472,4.644589542501684,3733.019395991256,2.5,3637.5913780146343,65.9988228188684,675.6299463436958,43.82987171699246,3772.618074971295,62.42573921634982
Odisha,107081.07068249428,96.34461441077359,5116.240221010474,92.96161293743145,64589.17901336908,95.99942707614993,5077.583877094679,8.071833127778557,0.0,5.801334213111308,3806.240919353587,7.894937236088138,2224.646322813741,76.97812929440495,179.1055639116693,79.92980700131598,468.84433648550294,76.44611834149485
Bihar,17555.51796919416,66.1,89676.08505477698,87.8240096985534,155726.77381012333,77.73329556249675,826.5347756499646,3.9729089320439197,4067.951666794477,5.7435290532534875,1477.7990761247856,4.646060894128896,1904.755669674245,50.53791213061079,606.9681856202708,18.810549346081775,902.5243064158853,33.5
Odisha,61203.58140128712,95.55047852569167,12820.893285667873,93.28259334557868,21.0,96.12042803259796,5090.6382347869185,8.020866914086437,0.0,7.285990816536626,4843.775694719788,6.775311995691508,4.0,75.0968755266563,190.00842733654108,75.37421454231844,3160.630723806178,76.58556858980504
Maharashtra,169623.2985118749,96.78026683347662,72294.28800471143,95.15045522165902,170617.2712485148,97.22917192593724,6361.450775351761,6.810209087382729,4800.3179309780535,6.939527453294956,11796.140152641714,5.985957985426454,7485.602700951419,68.20074103644409,2469.087392800992,62.949271924418916,7559.493459427642,66.70464947295122
Uttarakhand,45858.368820193886,97.19621098780145,3321.87368248115,92.354182232287,21.0,94.94824441940146,1643.5663116864503,7.739755754978121,0.0,4.874718171809611,4618.358064570692,6.783680218960839,4.0,38.74076433377157,0.0,52.997430758658886,459.6486080363182,38.10412501266902
Mizoram,21.0,99.2,2.0,100.0,21.0,99.2,2305.0353684841893,6.698968848674279,0.0,29.520777654436497,544.2700579385577,6.340914436369067,1740.3036185078572,96.9,0.0,99.37739934582495,4.0,97.0
Andhra Pradesh,17335.464238445027,97.51505090990757,41322.21000003339,100.0,67044.2614087625,97.18104332793075,6180.151303983126,13.838303460367296,3194.222105933392,9.149736816775862,15965.635512719073,14.963885368546782,6223.594342744782,72.44220545636291,1833.7669174587415,56.5674186302972,8142.449290192572,65.1020426390489
Delhi,112790.1947863581,83.9341480245452,6539.753783420041,54.52822005118024,60241.9358989161,81.62089491660758,5.0,7.855083435107719,0.0,11.002503130665577,4093.4492921032997,7.902724806740766,1774.8561320032861,51.76167995720862,0.0,21.582943017149294,3846.326467771476,47.960772626748835
Mizoram,21.0,97.01110637478253,16587.223805062942,98.97597806194513,5610.034581037828,98.04728399611498,1576.4392666496412,5.994455477427259,148.7264957607644,29.511626759351905,386.9843615178839,6.905328965560156,4.0,96.9,211.4235861809234,100.0,646.9225108407377,97.0
Telangana,35621.863457757485,94.8692486333017,40252.92121179965,93.75037219184365,104389.35673471217,93.82964043285224,2906.7003270152245,7.302532839652912,249.3987608297207,5.216446741478382,5647.808197714754,6.073495040094845,3685.278735934025,80.74790266416626,1268.1823558741637,83.01522082503107,4593.857771540157,83.22527916658973
Jammu & Kashmir,21.0,95.54907269142878,4190.081020034791,94.68929762971483,21.0,93.81746400929137,1129.9888440329653,6.894588860736179,0.0,7.954719925894152,698.2290267806446,6.086036807690997,4.0,53.05757844997758,0.0,81.0354934830614,538.2968451399418,54.96396896847245
Goa,47504.120963377434,98.93586686362433,6286.982047078782,73.79612579287001,8848.017792332374,93.35033634447935,5.0,18.173623762270164,891.5870998178679,15.712657990908085,1445.8236872762327,19.241961336118145,1846.11791570723,91.96713834320562,0.0,51.85779219970213,4.0,86.53045993556383
Haryana,79072.05763395791,94.98357711433512,24599.459089697535,89.12054336911665,41264.94900546315,93.66663071194913,8401.401983306474,8.400092318185507,702.266050519201,5.600571458651439,2329.40997675339,6.452077255401752,5633.240300532971,77.34742357190501,1107.1339176681718,65.01162171336617,3273.0853185210512,76.79138370681908
Madhya Pradesh,150723.74643194562,90.21030813690616,35065.173467643624,93.51480106381176,102976.51087018206,89.41594505049493,9294.762824531135,6.280879901757272,2826.0808049792613,7.308521063262947,11192.121785993897,7.005631868003615,2785.014320373582,44.035650562658255,1856.2717453132136,38.54432767778188,4271.230753569548,43.232247884504446
West Bengal,109843.9795800984,93.24139478360604,1004.8225775344454,78.57890774246619,136515.64674896692,92.37715213481376,11318.401087305438,14.246522252294714,1569.2606488895503,14.87755941910877,17794.494811647684,13.820488879991185,11555.612518091824,76.00114243187207,1073.123412395825,76.88716487368747,9640.59876436168,76.86243423689564
Uttar Pradesh,368376.9737061567,95.43338080746263,106807.23446244208,86.42400216192658,422773.48302923044,92.67793826098654,20802.00827476664,5.392320496274196,1724.9680484443072,1.0588752707313538,20221.126877549417,4.775313549568758,8170.439927335813,38.60501572659635,283.6172301916789,35.011139461028804,10784.510568054935,38.3947783220549
Tripura,21.0,95.41277269174779,2.0,86.41898104984762,33251.05302853331,94.41317001417971,1574.2807208686233,15.850300236424925,360.54661570698227,17.54142714311131,3166.045150897491,16.806888998947066,2366.3213576603107,42.04193516591753,429.8920021969976,0.0,4.0,37.47928334343427
Arunachal Pradesh,24008.789845416235,79.03450886798669,2.0,50.368230032898246,14052.466268293263,79.39914929626208,3150.490605637194,2.3,70.38638732236551,1.7758113760109078,5.0,2.5,4.0,47.8134935687573,,,151.60179178090834,52.018229961607844
Punjab,21732.580470644938,91.44886352670734,2423.48183589623,91.41257152387749,22054.97014903927,90.77352747426178,5046.044942373067,11.317999508765476,492.1436384847114,7.767301516738798,5291.486430138049,10.723935956677224,3220.847336734044,47.81792700778677,0.0,22.820093072637924,4442.242326664414,44.494757702115685
Odisha,56590.103739155704,97.16139113430128,10464.862911792065,93.4606553885063,50213.18337869882,95.21584622894515,5408.3677149356035,8.088903552749313,0.0,7.071685651203965,6449.197190262783,7.764907245365308,2271.4445907564264,76.25898420815419,468.40725334447353,78.44333983040761,1389.155020220756,73.28541106753904
Sikkim,21.0,96.5775659236798,2.0,95.19057747717508,14976.61142426402,96.66381175995389,1169.3685105173172,8.467342983983356,629.6753955892624,6.4219426331021525,1170.1159294020829,7.948010050149938,1422.9520377264819,93.82035479139789,478.094716566032,79.63323871032868,4.0,92.19270012019973
Himachal Pradesh,16485.14662699903,99.2,2.0,96.91349562984084,21144.814936277082,98.96858098586712,3901.8496193316214,9.165215926680483,841.4220034298893,7.085816913992938,917.9351499226876,9.352773555158189,4.0,76.52828577207103,400.7219082847334,76.79676497325823,3936.0634562383193,75.58188875310236
Telangana,31912.226784552997,93.16068787494498,13024.20714096068,92.60371271767434,96613.56375517696,93.85217088047936,2379.937054098999,5.589231987045469,1257.5044847748177,6.876230284609136,5504.98281187318,6.744656168333577,4008.2307451724855,82.6399627817918,915.080536045593,81.0392355466299,5534.081474492899,82.90410063139777
Manipur,21.0,75.75768839644648,2.0,56.26438409455597,21.0,74.3,5.0,16.876624170903188,379.65456053859293,8.103704909094414,5.0,15.134969853510933,452.27361478556696,49.69096572654532,214.62673446284037,19.056797462827575,4.0,45.09481647148648
Maharashtra,174879.02107716337,96.32013079302826,87858.66137265936,96.56100765088894,182650.63964634715,96.0517418699086,7282.320015149735,7.070612912796714,4352.173159401364,4.702622874365851,14058.573203372749,6.466600327832471,5408.979746705523,67.68628454085815,2452.5096163424514,57.79914881193254,4739.657808493158,67.54368032612365
Rajasthan,143678.79664937383,89.70606206512953,40175.59327913758,87.9456028587304,79255.95270268591,89.29165570638604,1792.552902828992,2.3991580445933502,2068.0652779100856,2.105789621403116,521.8760856574027,3.487266702489795,2594.4562209941682,63.87423516355491,391.13824190893826,47.12196134768482,93.45924021475003,58.66549172464658
Lakshadweep,28480.953877641514,94.81273401690532,,,21.0,95.29925230430304,5.0,23.499829052574814,,,3415.4941265438433,23.684251710082506,964.6708239816159,79.99144580365036,,,4.0,83.49324317668191
Dadra and Nagar Haveli and Daman and Diu,20287.636858627466,98.827390106721,2.0,100.0,86197.0580981762,99.2,5.0,6.696617262647108,0.0,3.7835774854933932,5.0,5.969715280288387,4.0,81.49569602649446,18.08919966873299,65.10847477736132,2509.1620810474737,80.57063057011686
Uttar Pradesh,443743.67302993947,94.138545285585,103179.03730827267,84.91678615088242,484118.643093693,91.16752303471779,18798.33499534568,6.14548106158456,1975.2970964981116,1.9186782660712616,18174.942175017317,3.9550672635805313,7818.761539288849,38.0,441.34436505796873,34.057657635485654,7778.977938206625,37.17875102848241
Dadra and Nagar Haveli and Daman and Diu,31092.67556984573,99.2,61.46357914648225,100.0,19592.468248759113,98.85053221425977,5.0,6.469567267206149,499.18162014521516,3.8260426103761387,2932.5530313374893,7.2388328803165845,4.0,80.9439314163458,18.981334885922877,65.93619332649764,149.93242545918747,80.49420268571278
Himachal Pradesh,696.4253176974962,99.2,7957.899628053705,97.65058949927824,21.0,98.48531077671417,1812.8849602283346,10.870408452385435,1497.6521965136972,6.208168720423543,3805.6175483683733,9.188525495852923,2272.112475862528,75.3667507860863,194.55566181764928,79.06198404606232,1113.9940420656603,78.33080343817839
Bihar,95773.47886872951,66.1,58407.99270820443,87.46461947734733,127230.08747304228,77.86920212870525,2286.370516896064,6.6504662357972375,3384.0989611180744,6.238552931584373,8802.291784361125,4.449724774163204,618.4739516895129,50.76865407502667,664.893169380653,22.924768629627753,3621.652387409593,33.5
Chhattisgarh,13204.02592241561,91.48779182907884,7412.002740133598,89.13733569940995,21.0,91.3679802691882,7021.2212894589475,9.529960421461027,681.6994498629869,8.281889356042386,313.0278080552707,8.273425737416389,790.0424899104312,49.4221837012044,39.04256583018213,22.645163410226118,4.0,44.26527746622468
Puducherry,6785.9935019800805,98.73947529238038,2.0,100.0,21815.303510684756,99.11947484662558,802.9280853641261,30.677517970652534,0.0,0.0,4062.877650672498,30.465133379273205,4.0,96.9,,,358.25849498756827,94.94407840650918
Andaman & Nicobar Islands,21380.45794048677,95.7520621564558,2.0,75.2960296617779,21.0,96.67658759884631,5.0,17.84652293715326,0.0,32.32313970211709,4727.5008926459395,20.465958823846645,1715.3848370052178,72.97346519797647,0.0,98.8249207320834,1283.4718638014592,71.75936793326979
Chhattisgarh,40172.638094547176,90.58787319144793,15178.87353227321,90.93952811180725,8949.930844218634,90.76847729783121,2951.232872069555,8.34707456712718,1823.1221420597708,6.227639687068294,5789.854276594715,9.972003986083287,4.0,46.02618175967924,423.7300042706641,25.58885883133244,4118.457791937031,43.36000057624143
Odisha,77439.86761966726,96.14132058789363,15694.53511386913,95.1419843016553,140652.38512159025,95.20090499859786,5.0,7.0377459303393275,0.0,5.568665770944517,6636.7194878920845,6.648635138077922,4.0,76.08654892498737,341.1612725249222,72.44639951793442,2530.8250444329615,75.6909866268735
Dadra and Nagar Haveli and Daman and Diu,28991.686636164133,98.55885622644588,6584.70923464979,99.72836756325657,21.0,98.14987604666501,5.0,6.966762965996257,0.0,4.119891073106689,5.0,6.6769673695410425,868.5157532730597,84.22725966854678,0.0,66.63652304224904,4.0,78.5695171195051
Goa,21.0,99.2,2.0,70.69632340388684,21.0,94.72655711362779,2030.4370485606719,20.45327954296733,431.3657826619799,15.151591115466559,5.0,20.323762425620433,695.7287679091107,87.01793062926981,21.071975084213765,55.86824590089688,492.08704297274744,83.48516890698228
West Bengal,111999.88508232226,94.5340828660016,1699.670479170415,80.64805209436295,132569.96407149968,93.00171928617965,7751.888343635683,13.601066027845365,0.0,14.29001973609439,15495.990206112629,15.175733416097119,12004.018622381716,77.37111170946349,1028.1051937754437,75.72464123508273,12757.491599984873,76.10982430749185
Himachal Pradesh,21.0,98.93259940417832,2940.2294381157035,98.25729161063529,66018.27468204725,99.2,2146.773736263535,9.583748685713449,378.6278674563447,4.256754796600214,3946.8165620566883,9.317192007354691,1971.982196909059,78.14972477041736,0.0,76.85885991403504,4.0,77.75720547620868
Telangana,106650.43646153258,94.10559173328859,18425.774504427493,93.86011553986472,70023.96028626204,93.9410161093688,2642.9222035365574,6.495654077555404,1311.1455460012012,5.353204645933806,5703.748004025127,5.53105916986461,3559.3497922459132,82.50897237450847,1006.5064046978849,81.52510491042813,6271.478988482468,80.9609362255998
Jammu & Kashmir,39461.7162038595,94.75363845982167,4881.892055684054,95.76770219944818,14135.938540638326,96.01334611286265,1017.0780441808017,7.926349053240886,0.0,8.445803439863958,5.0,7.319936853237516,4.0,53.33821864368415,89.16206604130312,82.37775401249488,1298.866051021775,53.674134044475494
Punjab,32573.142102766076,91.52301509840906,11032.62946147206,93.19586681844443,117821.51372877834,91.80679362333264,3826.566409681549,10.61446602034494,1131.95187933979,7.691160157303177,4082.6007396583122,11.279249837440588,3124.800222196954,47.16246306403021,311.9654695121641,23.268385449220553,1399.3455049579154,43.48393949983192
Manipur,32021.36743051292,77.11798715758478,27.38257183097636,55.090882036793694,33229.77388733838,75.69334818865279,3083.073059257259,17.286500439525042,0.0,7.094730601380386,5.0,14.212131362853565,255.86081416901686,44.43731551065115,0.0,19.021455049368736,4.0,46.76490275203054
Odisha,75453.39500591192,95.96920276956622,6710.100792659577,93.66362670740864,131122.83049663954,95.20982380638986,4352.94866881362,8.897525496273271,0.0,5.595622124327451,2665.147997093147,6.768286142347562,2946.431836448742,75.2730631945625,0.0,79.12411775502696,4034.9454973683696,75.6516797991756
Tamil Nadu,80924.8460449613,96.28980151009588,27727.2608596407,89.22048795653426,172379.72538597434,97.23510428630856,20311.43119947362,26.87430225997731,4030.412895333247,21.659886204138797,26809.41818706037,25.60314760868619,21089.648884531336,95.25791920786088,3281.354845614806,91.98451159458305,21350.308464050675,91.71176462555198
Delhi,49909.81429789128,84.34624476107395,9165.180479294571,56.06526509783837,64462.43480943027,79.96478990987023,10076.168300714511,7.563559383903906,963.3484844593693,11.147510323913378,6857.089665772461,7.18644530038779,1971.2542519668114,51.98942153681295,331.3145685957236,30.5987282205217,2447.259026904448,49.300626765458766
Sikkim,21.0,97.49602896388606,2.0,95.80139648880991,14798.612921926966,97.56512438759033,5.0,8.044119669391739,381.6585855280376,4.860668219824694,5.0,9.413967865516833,3036.3955096111254,87.46566754378426,0.0,71.10037455580716,4.0,88.04723766351127
Meghalaya,21.0,77.44490434558516,2.0,50.828281790849026,61781.162321159456,76.56393063742871,5.0,6.745247042941704,184.50686096973126,1.8533751914274403,2964.152749214096,7.7059112212166445,4.0,65.25054419695513,0.0,75.35421110724192,4.0,64.09386724455564
Odisha,80018.98768386937,96.10449179200343,2.0,92.04756411092173,58342.82107299815,96.43686213154196,4591.110352827892,7.447497728962707,109.81725116003642,7.369746063842813,3743.9313691236503,6.511725187630709,1011.7802765066576,77.31866862687893,297.139631746237,75.32939032767989,4912.3425273471985,74.2168650528348
Andhra Pradesh,7291.289704859984,97.47393282959959,9307.608939581409,100.0,24931.176791458114,98.18687137050628,10562.648608714979,13.73850555248013,3583.7208287112157,9.69288753933432,9009.78994773762,13.415689619652916,7721.812248239923,72.90001177453667,1528.90050180753,57.80627466136058,9306.966241987348,70.25248238471742
Uttar Pradesh,390287.3916467199,93.34110638481212,102176.4210026678,85.98145788163966,558782.1306052699,92.31165847106733,20347.88295771686,5.7336890787412385,1890.2239993286105,2.6162821600813517,20689.407257109546,4.534368430894669,7744.459797292808,38.39457028261068,527.429409979768,34.19895727937155,9554.493468638166,33.91112412393349
Mizoram,12751.308047382588,98.90122376237922,12010.440748844983,99.52649084581648,10519.306285974162,97.99052998251129,1608.1586259405665,6.3807066917834145,0.0,29.92400227525552,2594.767379300003,6.199300840186768,4.0,94.04007508630234,0.0,100.0,4.0,96.53210518709577
Himachal Pradesh,74070.94954561477,99.2,2.0,97.56259307272923,5016.274306990026,98.27929120161767,3881.078498492478,8.901980477986024,176.71526006642387,5.857036552181128,3142.188487086809,8.217695258336747,330.9153112877973,73.87182597338209,0.0,74.74986194079732,47.822211905326185,71.9153196489481
India,1669528.2636781253,92.93840832205902,501735.8097803684,87.52462025544976,2215930.0,91.96946753187426,142330.89830405582,9.21897994645128,29996.460412261196,5.851801522139751,173731.0,7.417620277797676,93099.36477903076,66.62590802173216,16108.154421876921,48.273386715650865,110058.0,59.86180562895025
Ladakh,21.0,90.64252532100019,2.0,82.5685690660271,21.0,91.59589654964583,647.0448184220076,2.4082707020287453,0.0,9.82852005158778,1570.8992211320465,3.26290776291584,4.0,85.79219705602263,0.0,100.0,4.0,89.31360811750605
Telangana,22612.377649826933,95.2195345081388,17079.37395782793,91.85851582919437,21.0,93.13379055500498,5088.504409911089,5.4307953285229065,725.6709642388024,5.067145570313952,8652.725768508904,6.951779883887602,4893.760614960657,83.42850669676363,1071.285729701297,80.37551559681135,2289.329064980986,78.91341691589226
Maharashtra,146784.46791566155,95.87794182960492,71843.8749695046,97.96363925093968,200366.90624966027,96.1790809115856,9813.089445420976,7.225735274313962,3012.4077729643586,5.104583642990713,11207.249018743601,4.650983226741141,8456.618929019267,69.23750573222982,2783.4117166221836,57.291328113856764,8739.776585074134,60.88904320424663
Uttar Pradesh,392483.0042350477,92.75947287092583,115564.61840961616,86.85847480074749,471651.294131272,92.04984165803097,20596.720844624324,5.987665014814706,2149.9786048039978,1.712156959683753,20276.626749659128,5.080716487370896,8694.193579918508,38.0,420.15075561038987,34.65529199350567,9602.480946190493,39.52647869277347
Bihar,55903.9582049271,66.1,66265.72092035388,85.54326363042287,83125.73759578666,76.84755819061094,6199.184427947061,5.995350130770693,4098.737391857285,4.080340139625438,7859.663208962304,4.955445524085233,2094.511198538158,50.153799536070295,1191.099179551693,18.891973715683502,2942.6648654866026,33.5
Delhi,54813.28068752248,83.52121517908797,7683.8168065212685,54.82107566672993,72394.29973754847,82.09849002956038,1458.8755757576323,7.5816570353535315,1557.9590147670178,10.656602000055,8859.944749465425,7.540704757801314,3526.5582228981657,47.30866653210426,0.0,23.88044243345249,3977.64135047543,47.14895734496898
Rajasthan,118156.38195007968,90.74699154129257,45832.827516861886,88.57276074023733,174847.1414077258,90.01709558756264,3468.8789367095073,3.1307585279290526,1960.763724591714,4.268084294290288,2191.766859097857,3.4273826237612295,1864.7463373292182,64.48105479518978,458.493452717494,45.85040312457112,1055.188873986018,61.72942274108036
Delhi,40623.75426993171,85.10431201497721,6320.4373662937305,55.29741528570554,27924.447591150718,80.2935513459746,8892.722742545437,8.068055253853576,0.0,11.423686570856004,4880.439936300854,9.097522184368593,1563.7054339934527,50.94885912414613,149.91873254566025,30.105164065638533,5246.386283418138,48.75262024980742
Kerala,13451.040468900708,93.9675742445587,333.4553222429545,87.28449044527338,58446.00566755226,93.45099100016192,4818.376631432378,32.59834038889937,449.07123922085304,29.197037574450846,2893.4724500465454,32.6,2578.225863659674,68.8347359885444,455.2698187062856,55.8861168904246,7053.193962235127,62.058490857307525
Lakshadweep,21.0,96.64176264124947,,,21.0,95.91556094874653,2010.5253672207382,23.65110246141951,,,1163.810281311149,23.309403799706224,4.0,80.28847750725218,,,1121.6716809107897,78.83342703753178
Punjab,4373.029981879721,91.78465253596568,6668.279693929148,92.75873828626372,92773.57354274037,92.67505540043295,3595.130772770336,12.777876466175593,752.3319443852595,7.487185216680378,8015.420081625893,10.122436202974677,3975.2698136744452,46.207199410305925,0.0,22.050229476873664,4179.732575714331,43.847703337392154
Nagaland,21.0,82.2591924959688,8822.781571253941,93.07382430223578,45597.5843479005,84.67611504209499,5.0,5.678605977024297,0.0,5.948698132120052,5.0,4.3562799406224615,4.0,49.622095137946026,114.28319630823475,8.544697195850581,2578.1023908194256,43.98666257078947
Sikkim,21.0,98.38029025222608,2.0,94.3663123234065,28015.853536230792,96.84963357123989,716.5723644359958,9.802756423041155,0.0,4.294494559506439,5.0,9.59753839140882,922.1389994049218,89.86753734464796,56.04383729864708,72.54581634412762,1428.4527289756272,88.52258605448088
Uttar Pradesh,393037.82973389426,93.61105521030983,86001.29075643695,85.32869353024665,458947.9372154489,92.4150560445119,19632.56554478274,5.2233677102822,1891.6878167658474,2.3237266704573596,27015.03270664736,5.857499886321955,9308.674262840064,38.0,589.3343540573596,34.429740582776084,8959.424866334562,36.36734829704829
Punjab,49992.276471168916,91.17240063605519,2.0,91.95418305053083,76260.07481684237,90.35409828200109,4103.311129795105,12.432940483537713,154.34918344134405,8.37052384178314,3864.1447657577673,10.102486530390753,3380.730641063175,45.860905958253284,68.47484835824027,21.235180940761033,2772.5045706357246,44.51129971053609
Tamil Nadu,95098.01460131297,98.27104176975025,10910.102394714886,91.61107085414217,140591.54420132822,96.51529448709759,18753.59730186444,25.973234700626193,5175.143482882446,23.02661899882558,26516.764450822924,26.337657865305545,19306.59347908975,92.55448596531846,3206.354554348605,84.01326002863577,22417.77162904386,94.3121809729843
Ladakh,21.0,91.39220129858555,12916.767590822723,83.85492058431245,44122.83932623383,91.10456309952461,5.0,3.311862633276814,110.07981368150662,11.017180010511836,5.0,2.978381035812725,673.1412316353212,83.36101752480629,345.05195800531465,96.49421015936927,4.0,87.51775812193203
Kerala,35486.23382829715,94.40971798513769,6267.94246343036,88.44757136467365,21.0,93.4114848948619,10208.438310138274,31.825067789965487,446.712416214679,29.49266992334557,6882.038347113321,32.49645553651141,2156.182538825399,64.1978418120572,542.5215575369604,62.88030121834682,4749.043184471634,64.60761441332286
India,1704157.4241306516,92.28592774670471,503915.79708472046,90.60601206273904,2215930.0,91.96818962022212,139444.3938773799,8.930042759487975,30439.145062711512,4.5672194826174195,173731.0,8.4692132203974,93897.0,67.03444438980306,16141.84201266697,52.16730207908006,109473.42263539747,61.49209539710965
Meghalaya,29855.14560028255,79.26563774388404,1894.0771171127697,50.0,20185.355781731316,76.39116980933575,5.0,6.260853303463435,418.9996713289987,2.3357732180249835,1209.311284259732,3.578047409438413,4.0,66.79542383608303,22.04447829429248,75.74712818639864,4.0,63.76629723618727
Delhi,47788.17008910452,85.1192988600272,3907.8011217335506,55.5000477705364,53084.90733197312,80.81578499617089,6681.78932957731,9.03964829222201,967.9383523762119,9.688171412935143,10224.14347538335,9.28191387225434,3224.3555089462834,51.671179446852484,0.0,28.938704185460143,473.3144131068075,48.25773183036172
Meghalaya,21.0,79.11846621260885,2.0,51.00226236089856,12352.758607558939,77.33547611085778,5.0,6.624504226021882,0.0,1.3432949810268588,4357.574927000229,5.264373886093708,4.0,64.41362674166464,213.7358728398975,72.02760980280212,1247.9487529206067,66.13989277912235
West Bengal,69161.17783465263,93.2516331308953,21906.097468366665,81.2898227924079,164264.41504492797,92.26728111806112,11898.911395380797,13.688217752132516,697.8432968427338,13.44216720966668,15241.465216312326,13.317915036030964,10852.586501893426,75.01847435467266,1073.7571979747452,79.16987391780658,8757.644082424375,74.35175687073419
Assam,42815.82294713185,80.71813191934679,2.0,83.80748368741804,25785.306228168483,80.04829004383025,5240.243982633795,8.049837198695391,1100.2848191069363,9.148242341768666,2682.9653956648203,6.286408671376161,4.0,39.62032531563534,129.37919127746395,38.36140861392863,479.4865111739773,40.74211368903539
